name,type,level,seq,parentName
부동산뉴스,NEWS,LV1,1,
시세트렌드,REGION,LV1,2,
커뮤니티,FORUM,LV1,3,

서울,REGION,LV2,1,시세트렌드
경기,REGION,LV2,2,시세트렌드
인천,REGION,LV2,3,시세트렌드
부산,REGION,LV2,4,시세트렌드
대구,REGION,LV2,5,시세트렌드
광주,REGION,LV2,6,시세트렌드
대전,REGION,LV2,7,시세트렌드
울산,REGION,LV2,8,시세트렌드
세종,REGION,LV2,9,시세트렌드
강원,REGION,LV2,10,시세트렌드
충북,REGION,LV2,11,시세트렌드
충남,REGION,LV2,12,시세트렌드
전북,REGION,LV2,13,시세트렌드
전남,REGION,LV2,14,시세트렌드
경북,REGION,LV2,15,시세트렌드
경남,REGION,LV2,16,시세트렌드
제주,REGION,LV2,17,시세트렌드


종로구,REGION,LV3,1,서울
중구,REGION,LV3,2,서울
용산구,REGION,LV3,3,서울
성동구,REGION,LV3,4,서울
광진구,REGION,LV3,5,서울
동대문구,REGION,LV3,6,서울
중랑구,REGION,LV3,7,서울
성북구,REGION,LV3,8,서울
강북구,REGION,LV3,9,서울
도봉구,REGION,LV3,10,서울
노원구,REGION,LV3,11,서울
은평구,REGION,LV3,12,서울
서대문구,REGION,LV3,13,서울
마포구,REGION,LV3,14,서울
양천구,REGION,LV3,15,서울
강서구,REGION,LV3,16,서울
구로구,REGION,LV3,17,서울
금천구,REGION,LV3,18,서울
영등포구,REGION,LV3,19,서울
동작구,REGION,LV3,20,서울
관악구,REGION,LV3,21,서울
서초구,REGION,LV3,22,서울
강남구,REGION,LV3,23,서울
송파구,REGION,LV3,24,서울
강동구,REGION,LV3,25,서울

수원시,REGION,LV3,1,경기
성남시,REGION,LV3,2,경기
의정부시,REGION,LV3,3,경기
안양시,REGION,LV3,4,경기
부천시,REGION,LV3,5,경기
광명시,REGION,LV3,6,경기
평택시,REGION,LV3,7,경기
동두천시,REGION,LV3,8,경기
안산시,REGION,LV3,9,경기
고양시,REGION,LV3,10,경기
과천시,REGION,LV3,11,경기
구리시,REGION,LV3,12,경기
남양주시,REGION,LV3,13,경기
오산시,REGION,LV3,14,경기
시흥시,REGION,LV3,15,경기
군포시,REGION,LV3,16,경기
의왕시,REGION,LV3,17,경기
하남시,REGION,LV3,18,경기
용인시,REGION,LV3,19,경기
파주시,REGION,LV3,20,경기
이천시,REGION,LV3,21,경기
안성시,REGION,LV3,22,경기
김포시,REGION,LV3,23,경기
화성시,REGION,LV3,24,경기
광주시,REGION,LV3,25,경기
양주시,REGION,LV3,26,경기
포천시,REGION,LV3,27,경기
여주시,REGION,LV3,28,경기
연천군,REGION,LV3,29,경기
가평군,REGION,LV3,30,경기
양평군,REGION,LV3,31,경기

중구,REGION,LV3,1,인천
동구,REGION,LV3,2,인천
미추홀구,REGION,LV3,3,인천
연수구,REGION,LV3,4,인천
남동구,REGION,LV3,5,인천
부평구,REGION,LV3,6,인천
계양구,REGION,LV3,7,인천
서구,REGION,LV3,8,인천
강화군,REGION,LV3,9,인천
옹진군,REGION,LV3,10,인천

중구,REGION,LV3,1,부산
서구,REGION,LV3,2,부산
동구,REGION,LV3,3,부산
영도구,REGION,LV3,4,부산
부산진구,REGION,LV3,5,부산
동래구,REGION,LV3,6,부산
남구,REGION,LV3,7,부산
북구,REGION,LV3,8,부산
해운대구,REGION,LV3,9,부산
사하구,REGION,LV3,10,부산
금정구,REGION,LV3,11,부산
강서구,REGION,LV3,12,부산
연제구,REGION,LV3,13,부산
수영구,REGION,LV3,14,부산
사상구,REGION,LV3,15,부산
기장군,REGION,LV3,16,부산

중구,REGION,LV3,1,대구
동구,REGION,LV3,2,대구
서구,REGION,LV3,3,대구
남구,REGION,LV3,4,대구
북구,REGION,LV3,5,대구
수성구,REGION,LV3,6,대구
달서구,REGION,LV3,7,대구
달성군,REGION,LV3,8,대구

동구,REGION,LV3,1,광주
서구,REGION,LV3,2,광주
남구,REGION,LV3,3,광주
북구,REGION,LV3,4,광주
광산구,REGION,LV3,5,광주

동구,REGION,LV3,1,대전
중구,REGION,LV3,2,대전
서구,REGION,LV3,3,대전
유성구,REGION,LV3,4,대전
대덕구,REGION,LV3,5,대전

중구,REGION,LV3,1,울산
남구,REGION,LV3,2,울산
동구,REGION,LV3,3,울산
북구,REGION,LV3,4,울산
울주군,REGION,LV3,5,울산

세종시,REGION,LV3,1,세종

춘천시,REGION,LV3,1,강원
원주시,REGION,LV3,2,강원
강릉시,REGION,LV3,3,강원
동해시,REGION,LV3,4,강원
태백시,REGION,LV3,5,강원
속초시,REGION,LV3,6,강원
삼척시,REGION,LV3,7,강원
홍천군,REGION,LV3,8,강원
횡성군,REGION,LV3,9,강원
영월군,REGION,LV3,10,강원
평창군,REGION,LV3,11,강원
정선군,REGION,LV3,12,강원
철원군,REGION,LV3,13,강원
화천군,REGION,LV3,14,강원
양구군,REGION,LV3,15,강원
인제군,REGION,LV3,16,강원
고성군,REGION,LV3,17,강원
양양군,REGION,LV3,18,강원

청주시,REGION,LV3,1,충북
충주시,REGION,LV3,2,충북
제천시,REGION,LV3,3,충북
보은군,REGION,LV3,4,충북
